index	original
1684	Zaterdag vierde hij zijn 100ste wedstrijd voor de Rode Duivels.
1685	Het coronavirus veranderde bij de Britten.
1686	Dat heet nu de Britse variant.
1687	Dit virus besmet veel meer mensen.
1688	De Britse variant is nu ook in België.
1689	Er waren al uitbraken in scholen.
1690	De scholen gingen dicht.
1691	Iedereen van die scholen moet met het gezin binnen blijven.
1692	Er is ook goed nieuws.
1693	Het personeel van ziekenhuizen krijgt nu een prik.
1694	De komende maanden krijgt ook het volk een prik.
1695	Dat gebeurt in grote ruimtes die nu bekend zijn.
1696	Tussen de opnames van de tv-reeks door schrijft An een kinderboek.
1697	Dat gaat over Duupje.
1698	Het boek komt in 2021 uit.
1699	Duupje is 10 jaar en gaat niet graag naar school.
1700	Hij heeft veel pech.
1701	Duupje is een figuur van haar vader René Swartenbroekx.
1702	Hij schreef bijna alle afleveringen van 'F.C. De Kampioenen'.
1703	Bedrijven verwerken dat.
1704	Maar er is te veel afval.
1705	Fabrieken verbranden het afval daar.
1706	Dat mag niet.
1707	Het vervuilt de natuur.
1708	De landen in Azië zijn het beu.
1709	Ook Thailand en de Filipijnen gaan dat doen.
1710	Volgens de rechter gebruiken leden van Hells Angels vaak geweld.
1711	Ook tegen andere motorclubs lopen nog rechtszaken.
1712	Ze spreken van een schande.
1713	De Ierse zei dat ze weer wil boksen tegen Persoon.
1714	Deze actie vierde zijn 10de verjaardag.
1715	Het is een fietstocht die vier dagen duurde.
1716	Dat is een record.
1717	Zeker 100 bestuurders maakten foto’s of een filmpje van het ongeval.
1718	Het werden foto’s van 116 euro.
1719	Het lijkt of België twee richtingen uitgaat.
1720	Veel Vlamingen stemmen dus heel rechts en voor Vlaanderen alleen.
1721	De federale regering moet heel België leiden?
1722	Hoe lang blijven we een land zonder regering?
1723	Het is een prachtig meisje.
1724	Het veulentje werd in de vrouwengroep geboren, net zoals in de natuur.
1725	Het veulentje is een afscheidsgeschenk van papa Hero.
1726	De bergzebra’s doen het goed, hier en in andere Europese zoos.
1727	Maar er is nog nieuws!
1728	Kompany keert terug naar Anderlecht.
1729	Want Kompany kon naar veel andere clubs.
1730	In Brussel was het zaterdag de Pride Parade.
1731	Dat is een feest van holebi’s. 100.000 mensen namen deel aan de stoet.
1732	De politie pakte daarom deelnemers op uit de stoet.
1733	Want de politiek zou te weinig doen voor holebi’s en transgenders.
1734	Ze zijn bang.
1735	Duncan Laurence (25) is de winnaar.
1736	Veel mensen zijn blij met het winnende nummer.
1737	Dit is een echt liedje!
1738	Het verschil met de 2de plaats was heel nipt.
1739	We moeten leren leven met de Aziatische hoornaar.
1740	Dat zeggen kenners van insecten.
1741	De hoornaar is twee keer zo groot als een gewone wesp.
1742	Het insect kwam enkele jaren geleden naar hier vanuit Azië.
1743	De hoornaars eten hier vooral bijen.
1744	Dat is slecht voor het overleven van bloemen en planten.
1745	De overheid probeerde de hoornaars uit te roeien.
1746	Dat lukt niet.
1747	In 2017 werden 10 nesten ontdekt.
1748	Dit jaar waren dat er al 120.
1749	We moeten leren leven met de Aziatische hoornaar.
1750	Dat zeggen kenners van insecten.
1751	De hoornaar is twee keer zo groot als een gewone wesp.
1752	Het insect kwam enkele jaren geleden naar hier vanuit Azië.
1753	De hoornaars eten hier vooral bijen.
1754	Dat is slecht voor het overleven van bloemen en planten.
1755	De overheid probeerde de hoornaars uit te roeien.
1756	Dat lukt niet.
1757	In 2017 werden 10 nesten ontdekt.
1758	Dit jaar waren dat er al 120.
1759	Deze wordt jaarlijks georganiseerd door tv-zenders uit Europa.
1760	De komst van de popdiva is niet onopgemerkt gebleven.
1761	Ze verblijft in het International Dan-hotel.
1762	Daar eindigde hij niet bij de eerste 10. België zal ook dit jaar niet deelnemen aan de finale.
1763	De regenboogvlag is het symbool van de homovereniging.
1764	Bij lesbische vrouwen zijn twee vrouwen verliefd op elkaar.
1765	Soms worden ze zelfs geslagen.
1766	Dat kan echt niet!
1767	Hierdoor steunen ze holebigemeenschap.
1768	En dat iedereen zijn plaats verdient in de maatschappij, zonder discriminatie!
1769	Hij heet Archie.
1770	Op de naam van de baby moest iedereen wat wachten.
1771	Hij heet Archie Harrison Mountbatten-Windsor.
1772	Harrison betekent 'zoon van Harry'.
1773	Meghan zei dat Archie lief en rustig is.
1774	Dat is Engels voor ‘Genoeg’.
1775	De betogers hebben genoeg van seksueel geweld.
1776	Velen vinden de straffen voor de daders te licht.
1777	Ze bedankten de deelnemers wel.
1778	Dunant won de Nobelprijs voor de Vrede.
1779	Dat doen ze dichtbij, bijvoorbeeld op festivals.
1780	In sommige landen wordt geen kruis maar een halve maan of een kristal gebruikt.
1781	De voorbije dagen was de politie in Antwerpen druk bezig.
1782	Zij reed met haar fiets naar een afspraak.
1783	Nog een dag later vonden duikers haar dode lichaam in het kanaal in Antwerpen.
1784	Dat schokt veel mensen.
1785	Het vliegtuig vertrok van Moskou naar de stad Moermansk.
1786	De piloot keerde terug.
1787	Mogelijk sloeg eerst bliksem in op het vliegtuig.
1788	De chauffeurs van De Lijn klagen.
1789	Dat komt omdat er een grote groep daklozen en migranten woont.
1790	Ze vrezen voor hun gezondheid en hun veiligheid.
1791	Zij beloofde om het probleem deze week nog aan te pakken.
1792	Goed nieuws voor fans van tv-serie ‘Thuis’.
1793	Actrice Moora Vander Veken speelt weer de rol van Olivia Hoefkens.
1794	Haar terugkeer moest een verrassing blijven.
1795	Want op 23 december viert ‘Thuis’ zijn 25ste verjaardag op tv-zender Eén.
1796	Maar Moora toonde een foto op Instagram.
1797	Je ziet dat ze bloemen kreeg na een tv-opname.
1798	Fans wisten al snel dat het een opname bij ‘Thuis’ was.
1799	Bashir Abdi uit Gent liep de marathon van Londen in 2 uur 7 minuten en 3 seconden.
1800	Abdi mag heel tevreden zijn.
1801	Die vinden plaats in de Japanse stad Tokio.
1802	We beledigen anderen.
1803	We toeteren hevig.
1804	Het gedrag van veel Belgen hoort niet in de auto.
1805	Dan toeteren al meer dan zes op de tien Belgen hevig.
1806	De oorzaak is bellen aan het stuur.
1807	Regent het de volgende weken niet of heel weinig?
1808	Dan is de kans op een nieuwe droge zomer groot.
1809	De VMM zal dus nog veel moeten overleggen over haar plan voor water.
1810	Woensdag 24 april 2019 is het opnieuw buitenspeeldag!
1811	Ga 24 april naar buiten!
1812	Maak er een spetterend avontuur van!
1813	Dat was de Amstel Gold Race in Maastricht.
1814	Hij kon het zelf amper geloven!
1815	Het geweld maakte zeker 290 doden en 500 gewonden.
1816	Naast kerken waren daar ook 3 hotels doelwitten.
1817	Mogelijk zijn de daders radicale moslims.
1818	De politie pakte 24 verdachten op.
1819	En leverde 360.000 euro op.
1820	De inzameling gebeurt via Potten of bokalen.
1821	Mensen kunnen er hun rosse centjes in deponeren.
1822	Philippe Gilbert won Parijs-Roubaix.
1823	Ze kwamen met hun twee aan op de piste van Roubaix.
1824	De favorieten konden hem niet volgen.
1825	Het was Italië ten top!
1826	Marta Bastianelli was de snelste vrouw in de Ronde van Vlaanderen.
1827	In België is het nog even wachten op 5G. De verschillende regeringen raken het niet eens over hoeveel geld ze elk krijgen van de bedrijven die 5G verkopen.
1828	De wereld van het voetbal is in rouw.
1829	In Argentinië overleed de vroegere voetballer Diego Maradona.
1830	Hij werd amper 60 jaar.
1831	Veel fans vinden hem de beste voetballer ooit.
1832	Een paar dagen later moest hij naar het ziekenhuis.
1833	Hij had een bloeding aan de hersenen.
1834	Hij kreeg een operatie, en die lukte.
1835	Maradona herstelde thuis van die operatie.
1836	Daar kreeg hij een hartstilstand.
1837	Maradona is voor veel fans de beste speler ooit.
1838	Op het wereldkampioenschap van 1986 leidde hij zijn land naar de titel.
1839	In Argentinië kwamen tienduizenden mensen op straat na het nieuws van zijn dood.
1840	Ook in de Italiaanse stad Napels toonden mensen hun verdriet.
1841	Maradona speelde zeven seizoenen voor de club van die stad.
1842	Hij werd er twee keer kampioen van Italië.
1843	Nu is ze er weer bovenop en mag ze vrijgelaten worden.
1844	Er mogen dan geen nieuwe dolfijnen komen.
1845	Ze komen met honger naar school.
1846	Vakk hebben ze geen geld om boeken en uniformen te betalen.
1847	Peter koopt dit zelf voor zijn leerlingen.
1848	Daarmee wil hij een verschil maken voor leerlingen in Afrika.
1849	De betogers eisen een nieuwe stemming.
1850	Maar de scheiding met de EU gaat helemaal niet vlot.
1851	Dat willen de leiders van de EU niet.
1852	Keurt het parlement die afspraken deze week toch goed?
1853	Lukt dat niet?
1854	De dag nadien moeten de landen van de EU starten met de organisatie van de verkiezingen.
1855	In Leuven werd van 11 maart tot 15 maart een filmfestival georganiseerd.
1856	Het festival verwijst naar COBBLES and STONES.
1857	Dit betekent kasseien en stenen.
1858	Men wil hiermee zeggen dat de wegen niet altijd toegankelijk zijn voor rolstoelen.
1859	Maar ook dat elke steen anders is.
1860	Vanuit Pasform werd er een namiddag rond Down the Road ingevuld.
1861	Het TV-programma waarin 6 jongeren met het Syndroom van Down op reis gingen.
1862	Ze deden dit samen met Dieter Coppens en Griet Dehaemers.
1863	Tijdens deze reis, die 16 dagen duurde, gingen ze langs 7 landen.
1864	Kevin, Lore, Hélène, Martijn, Pieter en Lisa verlegden hun grenzen.
1865	Op deze reis ontdekten deze jongeren wie ze zelf zijn.
1866	De hangbrug verbindt 2 bergtoppen.
1867	Aan de overkant van de brug werden er hangslotjes opgehangen.
1868	Dit is een teken van hun vriendschap.
1869	De jongeren hebben een prachtige reis gehad.
1870	Ze wilden dit allemaal opnieuw doen.
1871	Ze hebben ontdekt wie ze zijn.
1872	Ze kunnen hun angsten overwinnen.
1873	Hij heeft het hart op de juiste plaats.
1874	Elke dag sturen ze berichten.
1875	De jongeren hielpen elkaar.
1876	Had Kevin veel schrik.
1877	Ze zit in het hart van de jongeren.
1878	Zo vormen Kevin en Lisa een koppel.
1879	Lore werd verliefd op Maarten uit Down the road II.
1880	Al bij al hielden Kevin, Dieter, Pieter, Hélène, Griet, Martijn, Lisa en Lore aan deze reis een hechte vriendschap over.
1881	De aanslag gebeurde in de stad Christchurch in Nieuw-Zeeland.
1882	Meer dan 40 mensen raakten gewond.
1883	Alleen aardbevingen waren er een gevaar.
1884	Hij riskeert een levenslange straf.
1885	Deze duif heet Armando.
1886	Hij is de duurste Europese duif ter wereld.
1887	Het vorige record stond op 400.000 euro.
1888	Armando komt uit België.
1889	Hij is heel bijzonder.
1890	Volgens zijn baasje is hij een echt racewonder.
1891	Zijn nieuwe baasje komt uit China.
1892	Hij gaat Armando gebruiken om nieuwe superduiven te kweken.
1893	Vuurwerk wordt verboden met Nieuwjaar.
1894	Dat is zo in West-Vlaanderen, Vlaams-Brabant en Antwerpen.
1895	Ook de stad Gent verbiedt vuurwerk op Nieuwjaar.
1896	Annelies Verlinden is minister van Binnenlandse Zaken.
1897	Zij wil een verbod in heel het land.
1898	Ook de ziekenhuizen zijn voor een verbod.
1899	Daar liggen nu veel zieken door corona.
1900	Vuurwerk maakt elk jaar weer gewonden.
1901	En nog meer drukte willen de ziekenhuizen niet.
1902	De Europese Unie (EU) is de vereniging van 28 landen in Europa.
1903	Zij moest de Brexit organiseren en haalde een akkoord met de Europese Unie.
1904	Ook zonder akkoord wil het Verenigd Koninkrijk geen Brexit.
1905	Het geduld van velen raakt op!
1906	Hij is nu 31 jaar.
1907	Fellaini wil jonge voetballers een kans geven.
1908	En dit jaar voetbalt hij in China.
1909	Daar heeft hij weinig zin in.
1910	België zal hem missen.
1911	Zondag 10 maart trok een storm over België.
1912	Die zorgde voor veel schade.
1913	Helaas was er ook een dode.
1914	In Mol waaide een boom om.
1915	De boom viel op een visser.
1916	De man stierf.
1917	De storm trof ook het verkeer.
1918	Veel treinen reden niet.
1919	Dat kwam door takken op sporen.
1920	Al jaren spoelen dode dolfijnen aan op stranden in Frankrijk.
1921	Dit jaar zijn het er wel opvallend veel.
1922	Er was ook één vrouw uit België bij.
1923	Mogelijk volgen nog meer landen dat voorbeeld.
1924	De Belgian Tornados zijn Europees kampioen op de 4 x 400 meter.
1925	Het kampioenschap vond vorig weekend plaats in Glasgow.
1926	Toch wonnen de Belgen.
1927	Zondag trok in Aalst de stoet van carnaval door de stad.
1928	Er liepen 71 grote groepen met praalwagens mee.
1929	Er stapten ook 150 kleinere groepjes mee in de stoet. 80.000 mensen kwamen kijken naar het feest.
1930	Even was er onrust.
1931	De rest van de nacht verliep rustig.
1932	Dat zegt de overheid.
1933	Die gingen weer omhoog door de daling van de prijs.
1934	Daniil Medvedev won de Masters in het tennis.
1935	Dat tornooi is een het wereldkampioenschap.
1936	De beste tennissers spelen tegen elkaar.
1937	De Rus Medvedev won in de finale van de Oostenrijker Dominic Thiem.
1938	Medvedev had de grote favorieten geklopt.
1939	Dat waren Novak Djokovic en Rafael Nadal.
1940	Zo werd hij de verdiende winnaar.
1941	Welke sport zie jij graag op TV?
1942	Een schattige okapibaby is geboren.
1943	Mama Lindi bracht haar eerste jong ter wereld.
1944	De papa is okapi Bondo.
1945	Mama Lindi was 14 maanden zwanger.
1946	De jongen woog bij de geboorte 24,5 kilo.
1947	De dieren worden in hun bestaan bedreigd.
1948	Er leven nog maar zo’n vijftienduizend okapi’s in de natuur.
1949	Daar zijn veel slachtoffers boos over.
1950	Echte actie tegen misbruik komt er niet.
1951	Die hebben we al eerder gehoord”, zeiden sommigen.
1952	Hij werd 59 jaar.
1953	De man stierf aan kanker.
1954	Hij heette Willy Lambregt.
1955	De gitarist was lid van The Scabs.
1956	Hij werd bekend met Vaya Con Dios. Een week voor zijn dood trad hij nog op.
1957	Niels Destadsbader won vijf MIA’s.
1958	Het betekent ook Music Industry Awards.
1959	Dat was in het jaar 2014.
1960	Vanaf december 2019 gaan muntjes van 1 en 2 cent stilaan verdwijnen.
1961	De Staatsveiligheid meldde dat dat niet waar was.
1962	Hij was burgemeester van de gemeente Puurs-Sint-Amands.
1963	Dat was het WK afdaling in Zweden.
1964	Vonn is de beste skiester ooit.
1965	Dat is ook de reden waarom ze stopt.
1966	Ze liggen in de Noordelijke IJszee.
1967	De inwoners proberen de dieren te verjagen met licht en lawaai.
1968	IJsberen kunnen zo minder vis en andere dieren vangen als voedsel.
1969	Elke donderdag betogen scholieren.
1970	Die dag gaan ze niet naar school.
1971	Ze willen een beter klimaat.
1972	De jongeren vinden dat de politiek te weinig doet.
1973	Anuna De Wever startte de betogingen.
1974	Ze is 17 jaar.
1975	De koning steunt de scholieren.
1976	Iedereen mocht meedoen.
1977	Zeker 75.000 mensen stapten door Brussel.
1978	In Brazilië brak een dam.
1979	Dat zorgde voor een ramp.
1980	Zeker 300 mensen verdwenen.
1981	Zij spoelden weg door modder.
1982	Meer dan 120 mensen stierven.
1983	De ramp gebeurde bij een bedrijf.
1984	In Brazilië brak al eerder een dam.
1985	Die dam was van hetzelfde bedrijf.
1986	Vier jaar geleden waren er 19 doden.
1987	Ons land maakt te weinig groene stroom.
1988	Groene stroom komt uit bronnen die niet vervuilen.
1989	Windmolens en zonnepanelen zorgen voor groene stroom.
1990	In België moet 13% van alle stroom groen zijn.
1991	Ons land haalt dat cijfer niet.
1992	Vlaanderen maakt te weinig groene stroom.
1993	Wallonië doet het veel beter.
1994	Zij maken meer groene stroom.
1995	Energie is moeilijk in ons land.
1996	Er zijn vier minister voor Energie.
1997	Eén in Vlaanderen, één in Wallonië, één in Brussel, en één voor heel België.
1998	Hoe zou jij zorgen voor meer groene stroom?
1999	De Ketnet-serie en de film van ‘Nachtwacht’ wonnen samen ook twee Gouden K’s.
2000	Zondag was het klimaatmars in Brussel.
2001	De mensen vragen meer aandacht voor het milieu.
2002	Ze willen dat de politici een beter milieubeleid opstellen, met maatregelen die het klimaat kunnen redden.
2003	Maar ook veel jeugdbewegingen stapten mee, Net als veel andere organisaties.
2004	Dat is zeven keer meer dan een jaar eerder.
2005	Sommigen kiezen wel voor een operatie.
2006	Die operaties komen nu vaker voor.
2007	Een bekend voorbeeld is de operatie van vtm-journalist Bo Van Spilbeeck (zie foto).
2008	Daar konden ze door grote telescopen kijken en foto’s maken.
2009	Dat heet dan een ‘supermaan’.
2010	Belgen bewegen te weinig.
2011	Dat is niet gezond.
2012	De overheid wil mensen meer laten bewegen.
2013	De overheid vroeg hulp aan huisdokters.
2014	Dan kan hij je naar een ‘beweeg-coach’ sturen.
2015	Een ‘beweeg-coach’ helpt mensen meer bewegen.
2016	Ze fietsen dan bijvoorbeeld naar het werk.
2017	Al bijna 4.000 mensen kregen hulp van een ‘beweeg-coach’.
2018	Hiermee wordt de officiële start van het tulpenseizoen gevierd.
2019	De Dam is een populair plein in Amsterdam.
2020	Je kan de bloemenzee bewonderen vanaf een speciale brug.
2021	Elke bezoeker mag een bosje van 20 tulpen plukken.
2022	Toch was haar leven als tiener niet altijd leuk.
2023	Daar gelooft ze in.
2024	Hij won het Vierschansen-tornooi.
2025	Dat tornooi reist langs vier schansen.
2026	Die staan in Duitsland en Oostenrijk.
2027	De Japanner won vier keer.
2028	Dat is de ‘grand slam’.
2029	Dat was 137,5 meter!
2030	Het kampioenschap werd gereden in Kruibeke.
2031	Uiteindelijk was Toon Aerts de snelste.
2032	Het was een zwaar en modderige parcours.
2033	Sanne Cant won voor de 10de keer op rij!
2034	Dat is goed nieuws!
2035	Daar landden Amerikanen in 1969.
2036	Nu is ook de achterkant bekend.
2037	Uit de sonde kwam een robot.
2038	Het was een voertuig.
2039	Het voertuig reed al rond op maan.
2040	Beelden bereikten de aarde.
2041	China onderzoekt de maan.
2042	Is daar leven mogelijk?
2043	Sam De Bruyn gaat weg bij radiozender Qmusic.
2044	Hij werkte daar sinds 2015.
2045	Wat hij gaat doen, weet Sam nog niet.
2046	Hij heeft geen andere plannen.
2047	Sam zei dat hij nu rust wil.
2048	Hij wil meer tijd voor zichzelf.
2049	Hij dacht dit jaar veel na.
2050	Veel mensen hebben nu angst door corona.
2051	Hoe lost Sam dat op?
2052	Hij wil alles loslaten.
2053	Met wie praat jij als je bang bent?
2054	Er was veel volk voor de actie in Brussel.
2055	Ze zijn bezorgd om het klimaat.
2056	De opkomst was veel groter dan verwacht.
2057	Ze hadden duidelijke boodschappen: There is no planet B!
2058	Er is geen planeet B!
2059	Straks wel een diploma, Maar geen planeet meer!?
2060	Kyra en Anuna zijn 19 en 17 jaar oud.
2061	Ze plaatsten een filmpje op Facebook.
2062	Om jongeren een stem te geven.
2063	Veel scholieren kwamen aandacht vragen voor het klimaat!
2064	Die kreeg een celstraf.
2065	Volgens Eddyani had zijn vriend geen keuze.
2066	Hij had geen geld.
2067	Op YouTube werd de clip wel al 500.000 keer bekeken.
2068	Eddyani liet weten dat hij de daden van zijn vriend niet wilde verdedigen.
2069	Toeristen hadden het moeilijk om terug te keren uit de skigebieden.
2070	Zeker drie skiërs stierven door de lawines.
2071	Deze week zou het minder sneeuwen in Oostenrijk.
2072	Dat is ook goed nieuws voor de Oostenrijkers. 14.000 gezinnen zaten er door de sneeuw zonder stroom.
2073	Niet alleen de auto’s en treinen hadden het moeilijk.
2074	Er waren ook veel problemen op de luchthaven van München.
2075	Dat is een nieuw record.
2076	Het is een actie voor goede doelen.
2077	Er waren bijna 12.500 acties.
2078	Ook dat zijn records.
2079	Dat is de week voor Kerstmis.
2080	De uitzending was in een domein in Wachtebeke.
2081	Dat is een nieuw record.
2082	Het is een actie voor goede doelen.
2083	Er waren bijna 12.500 acties.
2084	Ook dat zijn records.
2085	Dat is de week voor Kerstmis.
2086	De uitzending was in een domein in Wachtebeke.
2087	Jongeren zorgden voor rellen.
2088	De schade is groot.
2089	Wat was het ergst?
2090	Jongeren vielen ook de brandweer aan.
2091	Het was weer een schande voor Molenbeek.
2092	De gemeente heeft al lang een probleem.
2093	Ook terroristen van IS kwamen uit Molenbeek.
2094	Mensen blijven slecht denken over deze gemeente.
2095	Een nieuwe doorbraak in de ruimtevaart!
2096	We weten nog niet zoveel over dit deel van de maan.
2097	De maanlander heet Chang’e 4.
2098	Het is een onbemand ruimtetuig.
2099	De Chang’e 4 vertrok op 7 december.
2100	Chang'e 4 gaat het achterste deel van de maan onderzoeken.
2101	Een eerdere maandlanding mislukte in 2014.
2102	Op de foto zie je de buidel rond het hoofdje van de kleine koala.
2103	Je ziet de buidel lustig bewegen.
2104	Echt de moeite!
2105	De Red Lions zijn niet alleen wereldkampioen, ze staan ook nummer 1 van de wereld.
2106	Zij komt uit Kenia.
2107	Persoon komt uit West-Vlaanderen.
2108	De Amerikaanse won in de tiende ronde.
2109	Het bedrijf Bpost heeft het te druk.
2110	Dat komt door alle pakjes.
2111	Veel winkels zijn dicht door corona.
2112	Daarom bestellen veel mensen pakjes op internet.
2113	Bpost kan niet alle pakjes op tijd leveren.
2114	Bpost wilde klanten zelf hun pakje laten ophalen.
2115	Dat maakte veel mensen en winkels boos.
2116	Want zij betalen voor de levering.
2117	Bpost is voor een groot deel van de Belgische overheid.
2118	Minister Petra De Sutter (Groen) sprak met Bpost.
2119	Ze wilde dat het bedrijf het probleem snel oploste.
2120	Bpost kwam met een plan.
2121	Het blijft alle pakjes leveren aan huis.
2122	Dat kan nu wel twee of drie dagen langer duren.
2123	Wil je het pakje sneller?
2124	Dan kan je het nog altijd zelf afhalen bij Bpost.
2125	De NMBS laat treinen rijden in België.
2126	Het bedrijf doet het niet goed.
2127	De klanten zijn niet tevreden.
2128	Het bedrijf deed een onderzoek.
2129	Het resultaat was nog nooit zo slecht.
2130	Vooral de stiptheid is een probleem.
2131	Te veel treinen komen te laat aan.
2132	De NMBS weet dat het beter moet.
2133	Maar het geeft de schuld aan de politiek.
2134	Ook de dieren in de ZOO zijn flink geweest.
2135	In Parijs kwamen ‘gele hesjes’ op straat.
2136	Ze gebruikten nu veel geweld.
2137	Ze staken meer dan 100 auto’s in brand.
2138	Ze vernielden ook gebouwen.
2139	Bij het protest vielen zeker 130 gewonden.
2140	De politie pakte ruim 400 mensen op.
2141	Toch wil hij praten met de ‘gele hesjes’.
2142	Ook in Brussel kwamen ‘gele hesjes’ op straat.
2143	Zij staken twee auto’s van de politie in brand.
2144	Meer dan 65.000 mensen deden mee.
2145	Dat had niemand verwacht.
2146	Daar moet de politiek iets mee doen.
2147	Dat vindt de organisatie van de mars.
2148	Want burgers kunnen het niet alleen.
2149	En voor minder slechte gassen.
2150	Wat een recordbedrag!
2151	Koen Wauters en Jonas Van Geel praatten de show aan elkaar.
2152	De tv-uitzending werd gepresenteerd door An Lemmens en Niels Destadsbader.
2153	Birgit Van Mol, Evi Hanssen en Sam De Bruyn maakten het eindbedrag bekend.
2154	Zij verdelen het geld onder de scholen.
2155	Blije onderzoekers in Amerika.
2156	Het werd 6 maanden geleden de ruimte in gestuurd.
2157	Rusland deed dat ook al met een Amerikaans schip.
2158	Enkele nachten geleden kwam het tot zwaar geweld.
2159	De actie startte eerst in Frankrijk.
2160	Volgens de politie hebben ze niets te maken met uiterst-links of uiterst-rechts.
2161	In Ieper was er zondag een herdenking van het einde van Wereldoorlog 1.
2162	Dat was op 11 november 100 jaar geleden.
2163	Rond Ieper sloeg die oorlog toe.
2164	De stad werd verwoest.
2165	Eén kon je naar de herdenking kijken.
2166	Bij het einde was er een mooi moment.
2167	Ozark Henry zong het lied ‘Heroes’ (helden) aan de Menenpoort.
2168	Op dat monument staan namen van de slachtoffers van Wereldoorlog 1.
2169	Daarna klonk The Last Post.
2170	Dat gebeurt elke avond aan de Menenpoort.
2171	Je hoorde het vroeger in het leger bij het einde van de dag.
2172	Iemand blies dan op een trompet.
2173	Tot slot vielen blaadjes van klaprozen naar beneden.
2174	De klaproos is het symbool van Wereldoorlog 1.
2175	De crisis over corona gaan de goede kant op.
2176	Er zijn weer iets minder besmettingen, zieken en doden.
2177	In ziekenhuizen blijft het wel erg druk.
2178	Daar lagen maandag nog 5.000 mensen met corona.
2179	En het aantal besmetting kan weer stijgen.
2180	Want meer mensen krijgen sinds maandag een test.
2181	Minder strenge regels kunnen er nog niet komen.
2182	De regels blijven zeker gelden tot en met Kerstmis.
2183	Toch wil 1 op de 3 Belgen vieren met een grote groep.
2184	Dat is niet slim.
2185	Er zijn minder slachtoffers in het verkeer.
2186	Er is niet alleen goed nieuws.
2187	Kinderen van drie en elf jaar zijn vaak slachtoffer.
2188	Een kind van drie zit soms niet vast in de auto.
2189	Een kind van elf gaat vaak alleen de weg op.
2190	Daar sneller rijden dan 30 kilometer per uur?
2191	Dat deden dit jaar al 97.000 mensen.
2192	Dat wordt komend weekend herdacht.
2193	Ook op de luchthaven van Deurne werd dit herdacht. Kinderen, leerkrachten en politieagenten kwamen er samen.
2194	Het is feest!
2195	De nieuwe K3 bestaat nu 3 jaar.
2196	Hanne, Marthe en Klaasje zijn al 3 jaar K3.
2197	K3 zoekt K3!
2198	De oude K3-meisjes gingen op zoek naar nieuw talent.
2199	Samen met Gert Verhulst, de baas van Studio 100, kozen Kristel, Karen en Josje de nieuwe meisjes.
2200	Proficiat Hanne, Marthe en Klaasje!
2201	Dan herdenken we het einde van de Eerste Wereldoorlog.
2202	Het is 100 jaar geleden dat de oorlog stopte.
2203	Deze Wapenstilstand zal extra gevierd worden.
2204	Op Wapenstilstand wordt een ceremonie gehouden.
2205	Dit gebeurt aan het graf van de onbekende soldaat.
2206	De Koning is hier elk jaar bij.
2207	En alle andere oorlogen in de wereld.
2208	Ook in het Verenigd Koninkrijk wordt deze dag herdacht.
2209	Families van oudstrijders komen naar Ieper.
2210	Ze komen naar de Menenpoort.
2211	Geen brieven of kranten in de bus?
2212	Dat kan de volgende dagen gebeuren.
2213	Werknemers van Bpost staken.
2214	Dat zijn postbodes.
2215	En medewerkers die de post verdelen.
2216	Vijf werkdagen staken ze om de beurt.
2217	Ze zijn boos.
2218	Ze vinden dat ze te hard moeten werken.
2219	Er zijn ook 350 postbodes te weinig.
2220	In Italië was het heel slecht weer.
2221	Rivieren en kanalen overstroomden.
2222	De stad Venetië stond onder water.
2223	Er waren zeker 30 doden door het slechte weer.
2224	Ze sliepen in een huis bij een rivier.
2225	Het huis overstroomde.
2226	Negen mensen verdronken.
2227	Dat is uniek.
2228	België kon er alleen van dromen.
2229	Nu gebeurt het voor de eerste keer.
2230	Nina Derwael was al Europees kampioen.
2231	Derwael komt uit Sint-Truiden.
2232	Ze heeft nog een droom.
2233	Dat is olympisch goud winnen.
2234	Grote Smurf, Smurfin, Brilsmurf en hun grote vijand Gargamel.
2235	Ze spelen al jaren de hoofdrol in strips, televisieprogramma's en films.
2236	Die bestaan in meer dan 40 talen.
2237	In de Britse hoofdstad Londen kwamen bijna 700.000 mensen op straat.
2238	De Brexit is het Brits vertrek uit de Europese Unie (EU).
2239	De betoging toonde veel Europese vlaggen.
2240	Daarover zijn de Britse regering en de EU het nog niet eens.
2241	Toen ze in mei 2018 trouwde met prins Harry, stopte ze met acteren.
2242	De reden van hun reis is de Invictus Games.
2243	Dat zijn de Olympische Spelen voor militairen die tijdens hun werk gewond raakten.
2244	Mensen mogen meelwormen eten.
2245	Dat besliste een dienst van de Europese Unie (EU).
2246	Die zegt dat de insecten kunnen dienen als voedsel.
2247	De wormen eten is niet ongezond.
2248	Je zal geen stukken worm in je eten vinden.
2249	Bedrijven maken er poeder van.
2250	Dat kan in veel soorten voedsel zitten.
2251	Denk aan pasta, brood of koekjes.
2252	Een kweker van duiven verkocht al zijn vogels.
2253	De duurste duif werd New Kim.
2254	Een man uit China kocht ze.
2255	Wedstrijden met duiven zijn heel geliefd in China.
2256	De koper kocht eerder al de duif Armando .
2257	Die kwam ook uit ons land.
2258	De man uit China betaalde er toen 1,2 miljoen euro voor.
2259	De man wil nu kleine duiven van New Kim en Armando.
2260	Een kweker van duiven verkocht al zijn vogels.
2261	De duurste duif werd New Kim.
2262	Een man uit China kocht ze.
2263	Hij betaalde er 1,6 miljoen euro voor.
2264	Wedstrijden met duiven zijn heel geliefd in China.
